"Statut de l’établissement de la filière de formation (public, privé…)",Établissement,Région de l’établissement,Filière de formation,Part des terminales générales qui étaient en position de recevoir une proposition en phase principale
Public,Lycée Gaston Fébus,Nouvelle-Aquitaine,BTS - Services - Management Commercial Opérationnel,15.0
Public,Lycée Louis Barthou,Nouvelle-Aquitaine,CPGE - Lettres,100.0
Public,Lycée Louis Barthou,Nouvelle-Aquitaine,CPGE - MPSI,100.0
Public,Lycée Saint-Cricq,Nouvelle-Aquitaine,BTS - Services - Conseil et commercialisation de solutions techniques,29.0
Public,Lycée Saint-Cricq,Nouvelle-Aquitaine,BTS - Production - Electrotechnique,10.0
Public,Lycée Saint-Cricq,Nouvelle-Aquitaine,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux",49.0
Public,Lycée des métiers Moliere,Nouvelle-Aquitaine,FCIL - Télépilote de drones,45.0
Privé sous contrat d'association,Lycée St Dominique,Nouvelle-Aquitaine,BTS - Services - Communication,60.0
Privé sous contrat d'association,Lycée St Dominique,Nouvelle-Aquitaine,BTS - Services - Support à l'action managériale,22.0
Privé sous contrat d'association,Institut du Travail Social Pierre Bourdieu de Pau,Nouvelle-Aquitaine,D.E Assistant de Service Social,46.0
Privé sous contrat d'association,"Lycée Général, Technologique et Professionnel St Joseph",Nouvelle-Aquitaine,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux",41.0
Public,Lycée agricole de Pau-Montardon,Nouvelle-Aquitaine,BTS - Agricole - productions animales,36.0
Public,Université de Pau et des Pays de l'Adour,Nouvelle-Aquitaine,Insertion à la Licence Scientifique (APILS),62.0
Public,Université de Pau et des Pays de l'Adour,Nouvelle-Aquitaine,"C.M.I - Cursus Master en Ingénierie - Physique, chimie - Géo-énergies, Environnement et Matériaux",100.0
Public,Université de Pau et des Pays de l'Adour,Nouvelle-Aquitaine,Licence - Mathématiques et informatique appliquées aux sciences humaines et sociales,95.0
Public,Université de Pau et des Pays de l'Adour,Nouvelle-Aquitaine,Licence - Mathématiques,97.0
Public,Université de Pau et des Pays de l'Adour,Nouvelle-Aquitaine,"C.M.I - Cursus Master en Ingénierie - Sciences de la vie - Géo-énergies, Environnement et Matériaux",100.0
Public,Université de Pau et des Pays de l'Adour,Nouvelle-Aquitaine,Licence - Géographie et aménagement,92.0
Public,Université de Pau et des Pays de l'Adour,Nouvelle-Aquitaine,"Licence - Portail Physique, chimie",93.0
Public,Université de Pau et des Pays de l'Adour,Nouvelle-Aquitaine,Licence - Portail Sciences de la vie,97.0
Privé sous contrat d'association,Lycée Stella Maris,Nouvelle-Aquitaine,BTS - Services - Economie sociale familiale,27.0
Privé sous contrat d'association,Lycée Stella Maris,Nouvelle-Aquitaine,DTS Imagerie médicale et radiologie thérapeutique,27.0
Public,I.U.T. de Bayonne,Nouvelle-Aquitaine,BUT - Génie industriel et maintenance,69.0
Public,I.U.T. de Bayonne,Nouvelle-Aquitaine,BUT - Informatique,74.0
Public,I.U.T. de Bayonne,Nouvelle-Aquitaine,BUT - Gestion des entreprises et des administrations,52.0
Privé sous contrat d'association,Institut Agricole Secondaire Jean Errecart,Nouvelle-Aquitaine,BTS - Agricole - Gestion et protection de la nature,57.0
Public,IFSI du CH d'Orthez,Nouvelle-Aquitaine,D.E Infirmier,71.0
Public,Lycée des Métiers - Hôtelier et de Tourisme,Nouvelle-Aquitaine,BTS - Services - Management en hôtellerie restauration,17.0
Public,I.U.T des Pays de l'Adour,Nouvelle-Aquitaine,BUT - Science des données,93.0
Privé enseignement supérieur,KEDGE BUSINESS SCHOOL - Site de Bayonne,Nouvelle-Aquitaine,Formation des écoles de commerce et de management Bac + 3 - Bachelor Affaires internationales,88.0
Privé enseignement supérieur,CPBx (ESTIA),Nouvelle-Aquitaine,Formation Bac + 3,92.0
Privé sous contrat d'association,ETCHARRY FORMATION DEVELOPPEMENT - AFMR,Nouvelle-Aquitaine,D.E Educateur Spécialisé,55.0
Privé enseignement supérieur,CESI Campus d'Assat,Nouvelle-Aquitaine,"Formation d'ingénieur Bac + 5 - Cycle Préparatoire Intégré - Spécialité Généraliste, BTP, Informatique, Systèmes embarqués",95.0
Public,Collèges des études européennes et internationales,Nouvelle-Aquitaine,Diplôme de Comptabilité et de Gestion,72.0
Public,Collèges des études européennes et internationales,Nouvelle-Aquitaine,Licence - Droit,88.0
Public,Lycée Marie Curie,Occitanie,BTS - Services - Gestion de la PME,25.0
Public,Lycée Marie Curie,Occitanie,Diplôme de Comptabilité et de Gestion,80.0
Public,Lycée Marie Curie,Occitanie,BTS - Services - Economie sociale familiale,25.0
Public,Lycée Jean Dupuy,Occitanie,BTS - Production - Maintenance des systèmes - option A Systèmes de production,9.0
Public,Lycée Jean Dupuy,Occitanie,BTS - Production - Traitement des matériaux,23.0
Public,Lycée Jean Dupuy,Occitanie,CPGE - PTSI,100.0
Public,Lycée professionnel Reffye,Occitanie,BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie,32.0
Privé sous contrat d'association,Lycée Pradeau la Sède-St Pierre,Occitanie,BTS - Services - Négociation et digitalisation de la Relation Client,34.0
Privé sous contrat d'association,Lycée Pradeau la Sède-St Pierre,Occitanie,BTS - Services - Management Commercial Opérationnel,44.0
Privé sous contrat d'association,Lycée Pradeau la Sède-St Pierre,Occitanie,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux",38.0
Public,IFSI CH de Bigorre,Occitanie,D.E Infirmier,63.0
Public,Lycée François Arago,Occitanie,CPGE - MPSI,100.0
Public,Lycée Jean Lurcat,Occitanie,BTS - Services - Management Commercial Opérationnel,6.0
Public,Lycée Pablo Picasso,Occitanie,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux",27.0
Privé sous contrat d'association,Lycée Sainte Louise de Marillac,Occitanie,BTS - Services - Management Commercial Opérationnel,16.0
Privé sous contrat d'association,Lycée Sainte Louise de Marillac,Occitanie,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux",34.0
Public,Université de Perpignan Via Domitia,Occitanie,Licence - Informatique,93.0
Public,Université de Perpignan Via Domitia,Occitanie,Licence - Portail Droit,75.0
Public,Université de Perpignan Via Domitia,Occitanie,Licence - Lettres - Parcours  Théâtre,100.0
Privé sous contrat d'association,Lycée NEOSUP Ecole Maso,Occitanie,DTS Imagerie médicale et radiologie thérapeutique,66.0
Privé sous contrat d'association,Lycée NEOSUP Ecole Maso,Occitanie,Année préparatoire - Classe de mise à niveau pour l'entrée en BTS et les poursuites d'études scientifiques,52.0
Privé sous contrat d'association,Lycée NEOSUP Ecole Maso,Occitanie,BTS - Services - Diététique,70.0
Public,I.U.T de Perpignan,Occitanie,BUT - Génie biologique Parcours agronomie,83.0
Public,Lycée Aristide Maillol,Occitanie,BTS - Services - Gestion de la PME,14.0
Public,Université de Perpignan - Antenne de Font Romeu,Occitanie,Licence - Portail Sciences et Techniques des Activités Physiques et Sportives,87.0
Public,Université de Perpignan - Antenne de Font Romeu,Occitanie,Licence - Portail Sciences et Techniques des Activités Physiques et Sportives,85.0
Public,Lycée Rosa Luxemburg,Occitanie,FCIL - Voilerie et sellerie nautique,53.0
Public,LYCEE POLYVALENT CHRISTIAN BOURQUIN,Occitanie,BTS - Services - Tourisme,28.0
Public,Lycée Robert Schuman,Grand Est,BTS - Services - Comptabilité et gestion,42.0
Public,Lycée Henri Meck,Grand Est,BTS - Services - Conseil et commercialisation de solutions techniques,38.0
Public,Lycée Jean Monnet,Grand Est,BTS - Services - Comptabilité et gestion,42.0
Public,Lycée Fustel De Coulanges,Grand Est,CPGE - Lettres,100.0
Public,Lycée Kléber,Grand Est,CPGE - PCSI,100.0
Public,Lycée Kléber,Grand Est,CPGE - ECG,100.0
Public,Lycée Kléber,Grand Est,CPGE - ECG,100.0
Public,Lycée Kléber,Grand Est,CPGE - ECG,100.0
Public,Lycée Jean Rostand,Grand Est,CPGE - BCPST,100.0
Public,Lycée Jean Rostand,Grand Est,BTS - Services - Diététique,59.0
Public,Lycée Jean Rostand,Grand Est,DTS Imagerie médicale et radiologie thérapeutique,59.0
Public,Lycée Louis Couffignal,Grand Est,BTS - Production - Systèmes constructifs bois et habitat,33.0
Public,Lycée Louis Couffignal,Grand Est,BTS - Production - Développement et Réalisation Bois,42.0
Public,Lycée Louis Couffignal,Grand Est,CPGE - PTSI,100.0
Public,Lycée des métiers René Cassin,Grand Est,CPGE - ENS Cachan D2,100.0
Public,Lycée des métiers René Cassin,Grand Est,CPGE - ECT - Option technologique,0.0
Public,Lycée des métiers René Cassin,Grand Est,FCIL classe passerelle BTS option service,0.0
Public,Lycée des métiers René Cassin,Grand Est,BTS - Services - Management Commercial Opérationnel,33.0
Public,Lycée Alexandre Dumas (Hotelier),Grand Est,Mise à niveau - Hôtellerie restauration,71.0
Public,Lycée Alexandre Dumas (Hotelier),Grand Est,Mention complémentaire - Sommellerie,14.0
Public,Lycée Emile Mathis,Grand Est,BTS - Services - Gestion des transports et logistique associée,28.0
Public,INSA Strasbourg,Grand Est,Formation d'ingénieur Bac + 5 - Bac Général,100.0
Public,Lycée des métiers CFA Heinrich-Nessel,Grand Est,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux",41.0
Public,I.U.T. d'Illkirch,Grand Est,"BUT - Techniques de commercialisation (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première)",53.0
Public,I.U.T. d'Illkirch,Grand Est,"BUT - Génie civil - Construction durable (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première)",71.0
Privé sous contrat d'association,Lycée Ste Philomene,Grand Est,BTS - Services - Conseil et commercialisation de solutions techniques,28.0
Privé sous contrat d'association,Lycée ORT STRASBOURG,Grand Est,CPGE - MPSI,98.0
Privé sous contrat d'association,ECP - Ecole Commerciale Privée,Grand Est,BTS - Services - Assurance,41.0
Public,Lycée Le Corbusier,Grand Est,BTS - Production - Travaux publics,33.0
Public,Lycée Le Corbusier,Grand Est,BTS - Production - Management économique de la construction,23.0
Public,IFSI Haguenau,Grand Est,D.E Infirmier,65.0
Public,IFSI Strasbourg (Hus),Grand Est,D.E Infirmier,71.0
Public,I.U.T. de Schiltigheim,Grand Est,BUT - Gestion des entreprises et des administrations,61.0
Public,Lycée Louis Marchal,Grand Est,BTS - Production - Conception et réalisation en chaudronnerie industrielle,11.0
Privé hors contrat,Institut national des formations notariales - site de Strasbourg,Grand Est,BTS - Services - Collaborateur juriste notarial,80.0
Public,I.U.T. de Haguenau,Grand Est,BUT - Métiers du multimédia et de l'internet,65.0
Privé hors contrat,OMNIS - Ecole Supérieure de Commerce et Management,Grand Est,BTS - Services - Tourisme,75.0
Public,Université de Strasbourg,Grand Est,Licence - Sciences et Techniques des Activités Physiques et Sportives,86.0
Public,Université de Strasbourg,Grand Est,C.M.I - Cursus Master en Ingénierie - Sciences pour l'ingénieur - Cursus Master Ingénierie en Micro et Nano-Electronique,100.0
Public,Université de Strasbourg,Grand Est,Double licence - Langues étrangères appliquées / Economie et gestion - Double licence LEA - Economie et gestion,99.0
Public,Université de Strasbourg,Grand Est,"C.M.I - Cursus Master en Ingénierie - Informatique - Cursus Master Ingénierie : Informatique, Image, Réalité Virtuelle, Interactions et Jeux",100.0
Public,Université de Strasbourg,Grand Est,"Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Études nord-européennes : scandinave",90.0
Public,Université de Strasbourg,Grand Est,Licence - Sciences pour la santé - Sciences pour la santé - Mathématiques -  Accès Santé,98.0
Public,Université de Strasbourg,Grand Est,Licence - Sciences pour la santé - Sciences pour la santé - Sciences du sport -  Accès Santé,100.0
Public,Université de Strasbourg,Grand Est,Licence - Musicologie - Parcours Musiques actuelles,84.0
Public,Université de Strasbourg,Grand Est,"Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Études chinoises",88.0
Public,Université de Strasbourg,Grand Est,Licence - Mathématiques - Parcours Mathématiques et physique approfondies - Magistère (MPA-Mag),100.0
Public,"Haute école des arts du Rhin, sites d'arts plastiques de Mulhouse et de Strasbourg",Grand Est,Diplôme National d'Art,91.0
Public,I.U.T. de Schiltigheim - Site de Sélestat,Grand Est,BUT - Gestion des entreprises et des administrations,69.0
Public,Lycée Jean Jacques Henner,Grand Est,BTS - Services - Comptabilité et gestion,23.0
Public,Lycée Camille See,Grand Est,BTS - Services - Management Commercial Opérationnel,27.0
Public,Lycée Alfred Kastler,Grand Est,BTS - Services - Gestion de la PME,16.0
Public,Lycée Michel De Montaigne,Grand Est,CPGE - ECG,100.0
Public,Lycée Louis-Armand,Grand Est,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux",42.0
Public,Lycée Louis-Armand,Grand Est,BTS - Production - Assistance technique d'ingénieur,26.0
Public,I.U.T. de Colmar,Grand Est,"BUT - Techniques de commercialisation (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première)",56.0
Public,I.U.T. de Colmar,Grand Est,"BUT - Métiers de la Transition et de l'Efficacité Énergétiques (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première)",50.0
Public,I.U.T. de Colmar,Grand Est,"BUT - Réseaux et télécommunications (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première)",67.0
Public,I.U.T. de Colmar,Grand Est,BUT - Techniques de commercialisation - International Business Management en triple diplôme franco suisse allemand,97.0
Public,I.U.T. de Mulhouse,Grand Est,BUT - Génie mécanique et productique - Trinational Mécatronique,93.0
Public,I.U.T. de Mulhouse,Grand Est,BUT - Métiers du multimédia et de l'internet,51.0
Public,Université de Mulhouse,Grand Est,Licence - Administration économique et sociale,72.0
Public,Université de Mulhouse,Grand Est,"Licence - Langues étrangères appliquées - Parcours Langues étrangères appliquées, Traduction scientifique et technique, option Anglais Italien",70.0
Public,Université de Mulhouse,Grand Est,"Licence - Langues étrangères appliquées - Parcours Langues étrangères appliquées, Traduction scientifique et technique, option Anglais Espagnol",83.0
Public,Lycée agricole Du Pflixbourg,Grand Est,BTS - Agricole - Aménagements paysagers,46.0
Public,Lycée agricole Du Pflixbourg,Grand Est,"BTS - Agricole - Métiers du Végétal : Alimentation, Ornement, Environnement",51.0
Public,Lycée Laurent de Lavoisier,Grand Est,BTS - Production - Pilotage des procédés,33.0
Public,Lycée Joseph Storck (Hotelier),Grand Est,BTS - Services - Management en hôtellerie restauration,15.0
Public,Institut de formation des métiers de la rééducation Sud Alsace - formation en psychomotricité,Grand Est,D.E Psychomotricien,95.0
Privé sous contrat d'association,Institution Saint Jean -Lycée d'enseignement général et technologique privé,Grand Est,BTS - Services - Opticien-Lunetier,64.0
